Gegenstand;Klasse(n);Gruppe;Stunden;ErgStunden;Schulstufen;LehrerIn
FÖ_FÖ;1;FÖ_E_1;0.5;0;05;Lehrer10 Dana (90000010)
FÖ_FÖ;1;FÖ_M_1;0.5;0;05;Lehrer11 Iris (90000011)
FÖ_FÖ;1;FÖ_D_1;0.5;0;05;Lehrer06 Hans (90000006)
FÖ_FÖ;2;FÖ_M_2;0.5;0;06;Lehrer11 Iris (90000011)
FÖ_FÖ;2;FÖ_D_2;0.5;0;06;Lehrer06 Hans (90000006)
FÖ_FÖ;2;FÖ_E_2;0.5;0;06;Lehrer10 Dana (90000010)
FÖ_FÖ;3;FÖ_D_3;0.5;0;07;Lehrer05 Sara (90000005)
FÖ_FÖ;3;FÖ_E_3;0.5;0;07;Lehrer10 Dana (90000010)
FÖ_FÖ;3;FÖ_M_3;0.5;0;07;Lehrer09 Bea (90000009)
FÖ_FÖ;4;FÖ_M_4;0.5;0;08;Lehrer09 Bea (90000009)
FÖ_FÖ;4;FÖ_D_4;0.5;0;08;Lehrer05 Sara (90000005)
FÖ_FÖ;4;FÖ_E_4;0.5;0;08;Lehrer10 Dana (90000010)
KU_VS-NaSt;1;;1;0;05;Lehrer06 Hans (90000006)
KU_VS-NaSt;1;;1;0;05;Lehrer05 Sara (90000005)
